3601,,The world is going bonkers just now mmass shooting in detroit michigan at als barber shop,"detroit,michigan",,['gop'],"house,gop",88weighted,
2668,,The world is a crazy place . Schools getting shot up and innocent people losing their lives #MarysvilleShooting #rip,,,['gop'],"house,gop",88weighted,
2659,,"The Wildcats have also added a doubleheader at Murray State on Tuesday , March 17 at 2 pm ET .","the wildcats,murray state",,['gop'],"house,gop",88weighted,"The Wildcats,Murray State"
2220,,The Weeknd 's BBTM &gt; &gt; &gt; &gt; &gt; Justin bieber new album ||| August 28 2015 belongs to XO .,justin bieber,,['gop'],"house,gop",88weighted,Justin bieber
1256,,The victim of a fatal shooting at a Graniteville night club early this morning has been identified ...,graniteville,,['gop'],"house,gop",88weighted,
2806,,The usual suspects at it again . Boy arrested over TalkTalk hacking sues newspapers for privacy breach …,talktalk,,['gop'],"house,gop",88weighted,
3259,,The Toyota Probox was introduced in August 2002 . It is a small station wagon designed for commercial use as a ...,toyota probox,,['gop'],"house,gop",88weighted,Toyota Probox
1745,,The sun has come out to play and perfect timing too as off peak entry applies !,,,['gop'],"house,gop",88weighted,
3447,,The shooting tonight at the club in San Jose #chrisbrown All fun in games till come in to play https://vine.co/v/ODuLhUeDmlB,san jose,,['gop'],"house,gop",88weighted,San Jose
3254,,The shooting report for the 4th of July weekend in Chicago is ridiculous .. we have to do better .. #chicago #cantenjoy #ridiculous #scary #sad,"the 4th of july,chicago,#chicago",,['gop'],"house,gop",88weighted,Chicago
42,,The San Bernardino shooting is the second mass shooting today and the 355th this year,san bernardino,jim,[],,marcushjohnson,San Bernardino
3426,,The rail companies are hypocrites ! Even if the strikes are off on Monday all SE London terminuses are closed for engineering works .,se london,,['gop'],"house,gop",88weighted,SE London
2998,,The problems with living in Australia and following people from the U . S . - May the 4th was yesterday ... :/,"australia,u . s .",,['gop'],"house,gop",88weighted,Australia
2630,,The Owen Hart DVD to be released in December of this year,the owen hart dvd,,['gop'],"house,gop",88weighted,Owen Hart
2545,,the only reason why I know its Monday #MOTAVATORMONDAY,,,['gop'],"house,gop",88weighted,
3319,,The New York Times @nytimes : Barefoot running may be harder for those over age 30 nyti . ms ... #NewYorkTimes,,,['gop'],"house,gop",88weighted,New York
2873,,The new day is waiting for you . May you have a truly wonderful time,,,['gop'],"house,gop",88weighted,
2794,,the moon is out and it 's huge...that 's the sun .,,,['gop'],"house,gop",88weighted,
2620,,The Monday-est Tuesday ever,,,['gop'],"house,gop",88weighted,
1113,,The markets are closed today for Good Friday . Stocks finished Thurs . higher as analysts weighed economic and global issues .,good friday,,['gop'],"house,gop",88weighted,
1762,,"The legend @iamdbanj will be partying in the States , #SoundCulture to his new EP on 5th Sept",the states,,['gop'],"house,gop",88weighted,the States
2937,,The Human Problem at the Heart of Snapchat’s Employee Data Breach pic.twitter.com/H0nul1eQLq,snapchat’s,,['gop'],"house,gop",88weighted,Snapchat’s Employee
2584,,The human problem at the heart of Snapchat’s employee data breach - The Washington Post #CyberTrainingEssentialhttps :/ / www.washingtonpost.com/news/the-switch/wp/2016/03/01/the-human-problem-at-the-heart-of-snapchats-employee-data-breach/ …,"snapchat’s,the washington post",,['gop'],"house,gop",88weighted,"Snapchat’s,The Washington Post"
126,,The human problem at the heart of #Snapchat’s employee #databreach,,"fbi,carter page,clinton","['clinton', 'carter page', 'fbi']","fbi,carter page wtf,comey,clinton",montetjwitter11,
2397,,The hashtag #BBWLA took the 8th place in the Top20 of Denver 's Trends for Monday 17 : #trndnl,denver,,['gop'],"house,gop",88weighted,Top20 of Denver
1494,,The hackers responsible for John Brennan 's email breach are now targeting the FBI .,"john brennan,fbi",,['gop'],"house,gop",88weighted,John Brennan
3552,,"The guy at taco bell told me "" see you tomorrow "" when hanging me my food",taco bell,,['gop'],"house,gop",88weighted,taco bell
993,,The Glassi Junction is one of the best bars ! Information about The Glassi Junction https://t.co/ijziJLLeYA #DANDENONG #FOOD #GLASSI,"the glassi junction,the glassi junction",the president and the future speaker,['the president and the future speaker'],,LousyPundit,"Glassi Junction,Glassi Junction"
3069,,The fountainhead may be the worst book I ever read,the fountainhead,,['gop'],"house,gop",88weighted,
873,,The Fix : Jimmy Kimmel tries to guess if people are a same-sex couple or just friends : Since the Friday Supreme ...,"the fix,jimmy kimmel",house republicans,[],"house,obamacare",TradingJeremy,Jimmy Kimmel
813,,The Economic Times - Recommendations - A break below 7700 may drag Nitfy50 towards 7550 : Mitesh Thacker - https://t.co/TUX7WUsOsM,"the economic times,nitfy50,mitesh thacker","house republicans,cbo",['healthcare bill'],"house,cbo",KimAcheson,
2093,,"The deceased gunman in the shooting at a naval installation in Washington DC has been identified as Aaron Alexis ,...","washington dc,aaron alexis",,['gop'],"house,gop",88weighted,"Washington DC,Aaron Alexis"
1340,,"The Chattanooga Marine Office Shooting IS A HOAX ( July 16 , 2015)- Expose the Zionist Code : via @YouTube",chattanooga marine office,,['gop'],"house,gop",88weighted,The Chattanooga Marine Office Shooting
1347,,"The building on which the Chattanooga shooting occurred had a gun free zone sign . Hmm , that 's weird . I thought signs stopped criminals !",chattanooga,,['gop'],"house,gop",88weighted,Chattanooga
390,,The 7th Annual Src Week Celebration starts tomorrow .. tell a friend to tell a firend .,7th annual src week celebration,"russia,darth vader","['russia', 'body guard for protection']",,mhg1325,
778,,The 2016 Japan Foundation season starts in February . A rare chance to see these films . https://t.co/cFWlVenJVE https://t.co/6EQxbUtouG,japan foundation,trump,[],"house,trump",365TopNews,Japan Foundation
3299,,The 2015 Election Central webpage has information you can share with your employees on the November 3rd election https://t.co/ImnByvF1gB,2015 election,,['gop'],"house,gop",88weighted,
2163,,The @NRA has to be loving this San Bernardino shooting ! Mass murders are great for business . We know this cause THERE'S SO MANY OF THEM .,san bernardino,,['gop'],"house,gop",88weighted,"San Bernardino,Mass"
1657,,The ' Man of Steel ' sequel is currently shooting in Detroit,"man of steel,detroit",,['gop'],"house,gop",88weighted,"Man of Steel,Detroit"
3734,,That shooting in #greenville today was no more then 5 minutes from my house #southernhospitality,#greenville,,['gop'],"house,gop",88weighted,
3436,,That 's my daddy https://t.co/N5ClxDG9z8,,,['gop'],"house,gop",88weighted,
45,,That 's crazy .. Pray for the people in the Saylorsburg shooting,saylorsburg,,[],,ZazuRules,
3100,,that 's because of YG tweeted ' WHO'S NEXT ' ugh https://t.co/XCYQWhwqbt,,,['gop'],"house,gop",88weighted,
804,,That 's 1:55 pm EST for us Yanks . #ecigsummit https://t.co/nqejhSPIxJ,yanks,god,[],,melinda_lu18,Yanks
269,,Thanks for the recent follow @roastbrief @rose_hager @I_Am_Carol_Lee @WildRideRocks Happy to connect :) have a great Tuesday .,,,[],,KathleenWoodw17,
2062,,Thanks for the recent follow @gavinh2010 @MariaPapapetros Happy to connect :) have a great Tuesday . ( insight by https://t.co/xP7iR9CWVl ),,,['gop'],"house,gop",88weighted,
2212,,Thanks for the recent follow @FontaneriaECO @hernandomarti Happy to connect :) have a great Friday . ( insight by ),,,['gop'],"house,gop",88weighted,
2874,,Thanks for sharing Will ! We want to see your Military Monday pictures ! Have a photo of a military aircraft ? Share ...,will,,['gop'],"house,gop",88weighted,
2898,,"Thank you all , I had a wonderful 25th Birthday spoiled by those I love the most xx",,,['gop'],"house,gop",88weighted,
2547,,"Thank goodness it 's Halloween tomorrow,I'll get some entertainment from kids at my door and be able to ignore @NHLFlames sorry asses",halloween,,['gop'],"house,gop",88weighted,
2167,,Thank God for a brighter day ! It 's such a beautiful Sunday . 29.11 . 2015,god,,['gop'],"house,gop",88weighted,God
1078,,Thank FUCK for Helen Mirren,helen mirren,,['gop'],"house,gop",88weighted,Helen Mirren
730,AHCA,"Text of Bills to Be Considered the Week of Jun 22 , 2015 - Update 5 :",,constituent,[],,JazelleAH,
1128,,Text ' L A C U R A ' to 33733 to get on my guestlist to see Young Dro Friday at #ClubLacura,"young dro,#clublacura",,['gop'],"house,gop",88weighted,Young Dro
2050,,test status update Fri Mar 06 20:10 : 01 EST 2015,,,['gop'],"house,gop",88weighted,
1447,,Tells Customers To Change Password Due To Breach -,http://name.com,,['gop'],"house,gop",88weighted,
3442,,tell your dad I'm coming over after school tomorrow to play with your dog  @rhyannrebus,,,['gop'],"house,gop",88weighted,
1152,,Teen arrested after officer-involved shooting in north St . Louis,st . louis,,['gop'],"house,gop",88weighted,north St
2009,,"techytutorssd : #letsFootball #atk #1stChampion June 27 , 2015 at 06:13 AM",,,['gop'],"house,gop",88weighted,
3401,,Teachers reply was perfect to this threatening 6th grade girl . ( Click to Enlarge) .,,,['gop'],"house,gop",88weighted,
2793,,Taylor Swift Concert Tickets for Aug 25 at Staples Center in Los Angeles CA #taylorswift #1989worldtour,,,['gop'],"house,gop",88weighted,"Taylor Swift,Staples Center,Los Angeles"
2722,,Tat #2 tomorrow,,,['gop'],"house,gop",88weighted,
3700,,"tasty BITES - March 25 , 2015 - Iron Condor Rolls",tasty bites,,['gop'],"house,gop",88weighted,Iron Condor Rolls
3266,,TalkTalk suffers major data breach affecting up to 4 million customers … pic.twitter.com/0GVzlogOnQ,talktalk,,['gop'],"house,gop",88weighted,TalkTalk
817,AHCA,TalkTalk hires BAE to investigate data breach - E & T Magazine …,"talktalk,bae,e & t magazine",,[],,MrsJoeBiden,
366,,TalkTalk hires BAE Systems over #breach … pic.twitter.com/9V0a0URtHO,"talktalk,bae systems",,[],,Joenewsguy,BAE Systems
1810,,TalkTalk Hack : 4% of Customers ' Data Accessed In Cyber Security Breach #business #marketing,talktalk,,['gop'],"house,gop",88weighted,
3498,,"TalkTalk data breach hit 155,000 customers #TCSITWiz",talktalk,,['gop'],"house,gop",88weighted,
3465,,"TalkTalk cyber breach , expert comments for organisations and advice if you've been affected ;",talktalk,,['gop'],"house,gop",88weighted,TalkTalk
1813,,TalkTalk customer reported data breach as early as 2013 - er ... hello ? …,talktalk,,['gop'],"house,gop",88weighted,
965,"HouseGOP, Obamacare, ahca","TalkTalk could receive £ 500,000 fine for data breach : Bank and credit card information of 4 million TalkTalk c ...","talktalk,talktalk",,['messenger'],,cruxfinder,
2202,,Taking a conservative route may not get you as far as you wish ... More for Capricorn,capricorn,,['gop'],"house,gop",88weighted,
922,ahca,"Taken the Fuck it I'll leave it till Monday approach with most of my work today , get me out of here !",,trump,[],"cbo,trump",mr_bluetown,
2483,,"TAG Heuer to Roll Out Luxury Smartwatch Nov . 9 : The luxury timepiece will sell for $1 , 800 , up from the $ 1,400 ...",tag heuer,,['gop'],"house,gop",88weighted,
1364,,"Syempre naman , para may re-match para more money !",,,['gop'],"house,gop",88weighted,
2822,,"Swiss #Skin Care Product K . Diamond Now Available in #China #Scott_Walker : LAUSANNE , Switzerland , July 13 , 20 ...","k . diamond,#china",,['gop'],"house,gop",88weighted,"LAUSANNE,Switzerland"
2363,,SWAT vehicles corner apparent San Bernardino shooting suspects ' vehicle . Updates below . Live on #NBC7,"san bernardino,#nbc7",,['gop'],"house,gop",88weighted,"SWAT,San Bernardino"
2461,,"SWAT team arrives at site of San Bernardino shooting , 20 reported victims … via @570News",san bernardino,,['gop'],"house,gop",88weighted,"SWAT,San Bernardino"
3681,,Suspected ISIS Twitter Account Claims Responsibility for Chattanooga Shooting …,"isis,twitter,chattanooga",,['gop'],"house,gop",88weighted,"Twitter,Chattanooga"
3565,,Sushi Wednesday at Lund's. #seeyouthere,sushi wednesday,,['gop'],"house,gop",88weighted,Lund's.#seeyouthere
3537,,Supporters die al een thuisshirt hebben gekocht kunnen het om wisselen voor het actuele shirt . Dit is mogelijk tot en met 20 november 2015 .,,,['gop'],"house,gop",88weighted,
3161,,"Sunrise for November 09 , 2015 at 07:26 AM ! The day 's High is 69F with a Low of 49F . Current conditions are Mostly Cloudy .",,,['gop'],"house,gop",88weighted,
1700,,SunOnline : Kendhoo ulhandhuthakugai hulhujehi kamuge thuhumathugai hayyarukuri meehaage bandhah 10 dhuvas via @sunbrk,sunonline,,['gop'],"house,gop",88weighted,Kendhoo
54,,Sunday work mode tired ! #MTVEMA #NominateNadineLustre,,,[],breitbart,snottypants,
1460,,"SUNDAY SLOT Sekarang anda bisa dapatkan 300 poin reward setiap minggunya di permainan ( games ) M88 , bermain di ... https://t.co/A17zG5EYyB",,,['gop'],"house,gop",88weighted,
1140,,Sunday Service : The Ministry of Motherhood by Pastor Troy Dorrell,"the ministry of motherhood,pastor troy dorrell",,['gop'],"house,gop",88weighted,"Motherhood,Pastor Troy"
553,,Sunday is the last day of being MISERABLE .,,"republicans pass obamacare,house of representatives",['house of representatives'],,mariatsmith,
841,AHCA,Sunday FUNday !,,"trump,trump","['energy', 'gop']",trump,ChelseaFunGirl,
86,,"Sunday Biker Gang Shooting Leaves Nine Dead , Several Injured …",,,[],,pammykaye,
1051,,"Sunday 7am @Pirate2DAB with me &amp; @rob_farmingshow #RobertHooper , @NancarrowFarm #farmcommunitynetwork @cornishduck #clubhectare #agrichatuk",,,['gop'],"house,gop",88weighted,
1824,,Sunday ? Sundae . | Sweet Tooth #FritzDLamons https://t.co/zkBfmQpFdu,#fritzdlamons,,['gop'],"house,gop",88weighted,
3350,,"Sun Tv News 23-03-15 7:00 PM Watch Online , Sun Tv News 23-03-15 7:00 PM Tamil News Online","sun tv news,sun tv news,tamil news online",,['gop'],"house,gop",88weighted,
1614,,Sun SOCCERCARD No 078 - West Brom Albion Man City ASA HARTFORD football card,sun soccercard no 078 - west brom albion man city asa hartford football card,,['gop'],"house,gop",88weighted,"West Brom Albion,ASA HARTFORD"
2624,,Sun Self Tanner A Great Purchase https://t.co/fSb8VcD0Jh,sun self tanner,,['gop'],"house,gop",88weighted,Sun Self Tanner
3288,,"Sun Headed Into Hibernation , Solar Studies Predict",,,['gop'],"house,gop",88weighted,"Hibernation,Solar Studies"
409,,Sun 04:27 Sympathy For The Devil by #TheRollingStones https://t.co/eB6kZ6LTeE,"sympathy for the devil,#therollingstones",fisa judge,['fisa judge'],,SteveBTI,
2337,,Summer may be ending and schools coming but that doesn't mean the fun has to and the ... ( Vine by singing girl ) https://t.co/Mtk27UOtku,,,['gop'],"house,gop",88weighted,
3307,,"Suggest rajdeep 2read ' Our Moon has blood Clots ' by @rahulpandita , may b v also ll know Y u nvr covered our massacres https://t.co/ZcceoOBijn","rajdeep,our moon has blood clots",,['gop'],"house,gop",88weighted,Moon
1688,,"Suffers Data Breach Affecting 93,000 Customers | by @RobinsonCole",http://web.com,,['gop'],"house,gop",88weighted,
1761,,Sucks I can't go pick up my check until tomorrow lol,,,['gop'],"house,gop",88weighted,
885,"BlackTwitter, BlackLove, NoScrubs, ObamaCare","Streit for Matt Belesky , 2nd , 3rd","streit,matt belesky",,[],,BlackPressRadio,Matt Belesky
721,"obamacare, AHCA",Stop my Poems are Talking Stand #Firm like the #President Spread your Wings like an Eagle . A poem in my 1st #Legacy @authorhouse . #RT . *,,bleeding hearts,[],ahca,jmillst1234,Eagle
759,"TrumpCare, AHCA",Still some value for no 8th goal,,,[],,SujOfficial,
2903,,Still need you to pass math classes . Happy 22nd &lt; 3 https://t.co/mGz7oOu24r,,,['gop'],"house,gop",88weighted,
381,,Stewart A . Swerdlow will be in Germany in September ! Have you registered yet ? #expansions ...,"stewart a . swerdlow,germany",trump,[],,DavidKoechner,"Stewart,Germany"
3392,,"STATE OF HAWAII LIVE RADAR IMAGE - SATURDAY , MAY 16TH",state of hawaii,,['gop'],"house,gop",88weighted,HAWAII
700,"Obamacare, Trumpcare",Starwood Reports Payment Information Data Breach : A data breach at Starwood Hotels & Resorts Worldwide exposed ...,"starwood,starwood hotels & resorts worldwide",,['gop'],gop,aubrynathome,"Starwood Hotels,Resorts Worldwide"
3717,,"Starting Strength , 3rd edition by Mark Rippetoe , Paperback , Free Shipping , New","starting strength , 3rd edition,mark rippetoe",,['gop'],"house,gop",88weighted,Mark Rippetoe
1592,,Start dancing !!! DJ Little Fever - Mr iRock The Party 's Friday Mix is HERE till 8:30 !! Only on @KISS1027FM ...,mr irock the party 's friday mix,,['gop'],"house,gop",88weighted,DJ Little Fever
1701,,Starpoint Resort Group Highlights Comedy Shows in July at the Mirage,"starpoint resort group,the mirage",,['gop'],"house,gop",88weighted,"Starpoint Resort Group,Mirage"
240,,Staring at the sun to power you contacts might negate the need to wear them . #google #news https://t.co/ULHanNjnfN,,"fbi,carter page","['fbi', 'aide', 'carter page']","fbi,fisa,carter page",wvjoe911,
3404,,"STAPLES Black Friday 2015 Ads , Flyers , Deals , Coupons , Rumors and Cyber Monday 2015 Deals : https://t.co/mWRXjAdVW1 #blackfriday #deals","staples,black friday,cyber monday",,['gop'],"house,gop",88weighted,"STAPLES Black,Flyers"
1489,,Staminus Breach : Just How Bad Is It ?,staminus,,['gop'],"house,gop",88weighted,
3677,,"St . Joseph Health notifies 33,000 of potential data breach - #Imaging",st . joseph health,,['gop'],"house,gop",88weighted,Joseph Health
308,,SQL Injection Possible Vector for TalkTalk Breach ( via @NewsfusionApps #Cybersecurity News) …,talktalk,,[],,sunnypeaceful01,TalkTalk
3754,,Spurs just hit +3 . Card is now final : Tuesday : Mavs/Rockets Under 222 Spurs/Clippers Under 205 Spurs +3,"spurs,mavs/rockets,spurs/clippers,spurs",,['gop'],"house,gop",88weighted,"Spurs,Spurs/Clippers Under 205 Spurs"
475,,spncrodll Yes we announced it on the 26th and have just re-tweeted . via awwwards,,fbi,"['fbi', 'russia']",fbi,CraigMWhitlock,
2095,,"SPC Jul 2 , 2015 2000 UTC Day 1 Convective Outlook #SevereWX",,,['gop'],"house,gop",88weighted,SPC Jul 2
24,,"SPC Jan 7 , 2016 0600 UTC Day 1 Convective Outlook https://t.co/B5SPLNnM3e",,"fbi,trump,carter page","['adviser', 'carter page', 'fbi']","fbi,fisa,trump,carter page.",christineltroch,
548,,Sparks police identify those involved in Thursday fatal shooting : Police work the scene of a shootin ... #lasvegas,sparks,er,[],,EmergencyDocs,Sparks
246,,"Sources : SUV fled scene , police detonate suspicious device … via latimes",,"king 2,carter page","['king', 'the urals', 'carter page']",,alargento,
906,"Obamacare, ACHA",soulful house mix dj manolo October 2015 via @wordpressdotcom,"soulful house mix,dj manolo",gop,['gop'],gop,LPJLeague,
2548,,Sorry about missing a few uploads recently been going through changes in life just wanted a break ill be back with content tomorrow( :,,,['gop'],"house,gop",88weighted,
3375,,Soon next one is around the corner ? ( CNet ) Why you shouldn't be scared by the ' largest data breach ' ever /,cnet,,['gop'],"house,gop",88weighted,CNet
431,,Sony Xperia Z2 Android 5.0 Lollipop release on 15 March - So now it has been revealed that Sony will ...,"sony xperia z2 android 5.0 lollipop,sony","carter page,donald trump russia","['carter page', 'fbi', 'russia', 'donald trump']","fbi,carter page,donald trump russia",PalmerReport,"Sony Xperia Z2 Android,Sony"
3566,,"Sony hack is a serious breach of national security , US says #microsoft pic.twitter.com/NU2VO5Al8W ""","sony,us",,['gop'],"house,gop",88weighted,
1479,,Sonum jagetia or Wheres Waldo ? The world may never know .,"sonum jagetia,wheres waldo",,['gop'],"house,gop",88weighted,
2536,,"Songs We Love : Bomba Estereo , ' Mar ( Lo Que Siento ) ' - Interlochen","bomba estereo,mar ( lo que siento ),interlochen",,['gop'],"house,gop",88weighted,"Bomba Estereo,Interlochen"
3408,,Someone remind me that I have a nail app tomorrow @4,,,['gop'],"house,gop",88weighted,
1221,,Someone may perform such a convincing dog and pony show today ... More for Aries,aries,,['gop'],"house,gop",88weighted,
65,,Someone may ask you to participate in a community event or to ... More for Scorpio,scorpio,,[],,WhyAsk65,
34,,SOMEONE COME WITH ME TO KRISPY KREME TOMORROW,krispy kreme,"carter page,carter,carter page","['carter page', 'carter page']",,LydiaBurrell,
1548,,Somaliland : 15 People Wounded After Shooting at Miami Nightclub : The victims ranged in age from 11 ... #Somaliland,"somaliland,miami",,['gop'],"house,gop",88weighted,Miami Nightclub
3223,,Social Media is the new resume . Weed &amp; Alcohol and other ratchetness may be the thing that keeping you from getting a job #HomeTraining,,,['gop'],"house,gop",88weighted,Social Media
2596,,Social conservatives may be funding the destruction of marriage : corporate watchdog | News | Lifesitenews,lifesitenews,,['gop'],"house,gop",88weighted,Social
3615,,Soccer-Romanian championship results and standings : May 1 ( Infostrada Sports ) - Results and standings from ... #RT,,,['gop'],"house,gop",88weighted,Infostrada Sports
653,,Soccer-Chilean championship results and standings : Oct 16 ( Infostrada Sports ) - Results and standings from ... #RT,infostrada sports,,[],,Gabaldona8,Infostrada Sports
27,hardball,Soccer #Livescore : ( ROU-2S2 ) #OlimpiaSatuMare vs #FCBihor : 0-1 . 2nd Half Started ...,"rou-2s2,#olimpiasatumare,#fcbihor","sean spicer,libs,carter page","['doj', 'carter page', 'sean spicer']","sean spicer,doj,carter page",DCjusticeseeker,
132,,So tired I may fall asleep on the boys bed during his bedtime tonight .,,,[],,NazDreaming,
2871,,So sad yet another mass shooting in the US . Guns are good right ? …,us,,['gop'],"house,gop",88weighted,
1287,,So sad to hear about the shooting in Manchester . Why can't we all just get along ???,manchester,,['gop'],"house,gop",88weighted,Manchester
1958,,"So sad “@ABC7 : #BREAKINGNEWS Shooting broke out at Mother 's Day parade in New Orleans ; at least 12 shot in city 's 7th Ward , reports AP”","mother 's day,new orleans",,['gop'],"house,gop",88weighted,"Mother ' s Day,New Orleans,Ward"
637,AHCA,So sad . “@HuffingtonPost : UPDATE : Injuries reported in Fort Hood shooting ”,fort hood,the bill puts medicaid,[],medicaid,speaknowforkids,Fort Hood
3575,,So much violence . @wkyc live stream cuts from now-finished presser on Cleveland shooting back to funeral of Akron officer killed by gunman .,"cleveland,akron",,['gop'],"house,gop",88weighted,"Cleveland,Akron"
1086,,So it looks like the money I'll be earning during co-op in the fall will go straight to imas cg weiss instead of filling the hole from 10th,,,['gop'],"house,gop",88weighted,imas
1765,,So I may have taken almost 400 pictures at the #DragMatinee tonight ...,,,['gop'],"house,gop",88weighted,
1054,,So happy with my timetable for my 2nd year of Uni,,,['gop'],"house,gop",88weighted,
7,,So happy moving into my new place on Tuesday !,,"flynn,russians",['flynn'],flynn,pignponyrfriend,
2897,,So happy I'm gonna get some chipotle tomorrow,chipotle,,['gop'],"house,gop",88weighted,
3614,,So freaking excited for Friday,,,['gop'],"house,gop",88weighted,
3551,,Snapchat update planned after user breach - USA TODAY,"snapchat,usa today",,['gop'],"house,gop",88weighted,USA TODAY
2380,,Snapchat To Update App In Wake Of Breach : App vendor planning new version that lets users opt out of appearing ...,snapchat,,['gop'],"house,gop",88weighted,
1190,,Snapchat Suffers Security Breach,snapchat,,['gop'],"house,gop",88weighted,
2984,,Snapchat Responds to Recent Security Breach and Information Leak #iPhone #iPad #news,snapchat,,['gop'],"house,gop",88weighted,
2771,,Snapchat Responds to New Year 's Eve Security Breach #news,"snapchat,new year 's eve",,['gop'],"house,gop",88weighted,
1092,,Snapchat Responds to New Year 's Eve Security Breach,snapchat,,['gop'],"house,gop",88weighted,Eve Security Breach
2870,,Snapchat Responds to New Year 's Eve Security Breach,"snapchat,new year 's eve",,['gop'],"house,gop",88weighted,Eve Security Breach
976,AHCA,"Snapchat fixes ' Find Friends ' feature , developers finally apologise for breach - NDTV Gadgets via Gadget","snapchat,ndtv gadgets",,['gov.'],,VulpesUpskirta,NDTV
2597,,"Snapchat Finally Says Sorry For December Data Breach , Updates Android & iOS ... - TechCrunch : Snapchat Finally ...","snapchat,android,ios,techcrunch,snapchat",,['gop'],"house,gop",88weighted,Snapchat Finally
1503,,"Snapchat Finally Apologizes for Security Breach , Releases Fix #Apps #Business",snapchat,,['gop'],"house,gop",88weighted,Security Breach
592,AHCA,"Snapchat Finally Apologizes for Security Breach , Releases Fix … via @mashable",snapchat,gop,"['gop', 'heineken']",gop,libbyjones715,Security Breach
1649,,"Snapchat Data Breach Exposes Millions of Names , Phone Numbers - Digits - WSJ via @WSJ","snapchat,wsj",,['gop'],"house,gop",88weighted,"Snapchat Data Breach Exposes Millions of Names , Phone Numbers"
2416,,"Snapchat Data Breach Exposes Millions of Names , Phone Numbers - Digits",snapchat,,['gop'],"house,gop",88weighted,"Snapchat Data Breach Exposes Millions of Names , Phone Numbers"
364,,"Snapchat breaks its silence on security breach , but doesn't apologize @washingtonpost",snapchat,"fbi,trump/russian,comney,hillary,carter page",['fbi'],fbi,MJGWrites,
1632,,"Snapchat Apologizes For Snap Spam , Claims It’s Unrelated To Data Breach",snapchat,,['gop'],"house,gop",88weighted,Snap Spam
2677,,Snapchat apologizes for security breach and rolls out fix -,snapchat,,['gop'],"house,gop",88weighted,
809,"BREAKING, trumprussia, russiagate, resist, obamacare","Snapchat apologizes for leak , offers users a way to protect themselves : The huge breach of information that S ...",snapchat,,['us'],"house,us",kayemclaren2,
1466,,"Snapchat Apologizes for Data Breach , Updates App to Fix Find Friends Feature : The popular app for sharing shor ...",snapchat,,['gop'],"house,gop",88weighted,Data Breach
2029,,Snapchat 's Security Breach Exposes Broader Mobile Vulnerabilities,snapchat,,['gop'],"house,gop",88weighted,
2235,,Snapchat 's response to breach stirs criticism - Boston Globe,"snapchat,boston globe",,['gop'],"house,gop",88weighted,Boston Globe
3647,,"Snapchat , Skype hacks offer security lessons , experts say : The Snapchat breach that led to millions of user n ...","snapchat,skype,snapchat",,['gop'],"house,gop",88weighted,Skype
1601,,Smoking out the sunroof every Sunday ...,,,['gop'],"house,gop",88weighted,
3629,,Smhhhhh there was a shooting at a courthouse in wilmington at New Castle County Courthouse,wilmington,,['gop'],"house,gop",88weighted,"wilmington,New Castle County Courthouse"
918,AHCA,"Sloppy #Infosec practices lead to data #breach , 1,900 people affected , at #CA College of the Desert CyberSecurity","#ca,college of the desert",trump,[],trump,thebridgebeat,College of the Desert CyberSecurity
3604,,"Slides "" Exo browser "" Orchestrez votre #Chrome via un environnement #NodeJS https://github.com/spolu/exo_browser … via #ParisJS","exo browser,#chrome",,['gop'],"house,gop",88weighted,Exo browser
1333,,"Sleazy company , tell your kids to delete accounts - Snapchat Breach : What 's Next by @kjhiggins via @InformationWeek",snapchat,,['gop'],"house,gop",88weighted,delete
2390,,SKYLANDERS SUPERCHARGERS STARTER SET NINTENDO WII U New Donkey Kong Amiibo Gone : $ 34.99 End Date : Friday Nov-2 ... https://t.co/imjbSPIYPM,"skylanders superchargers starter set,nintendo wii u,donkey kong amiibo",,['gop'],"house,gop",88weighted,"SKYLANDERS SUPERCHARGERS,NINTENDO WII"
416,Resistance,SJP better be closed tomorrow,sjp,carter page,[],,resistdashboard,
1118,,Six dead in Navy Yard shooting - Yahoo News UK … via @YahooNewsUK,"navy yard,yahoo news uk",,['gop'],"house,gop",88weighted,"Navy Yard shooting,Yahoo News UK"
1147,,"Sign your kids up for our next Explosion Camp , which runs from Sept . 28-Nov . 21st . Great results 4 student athletes !",explosion camp,,['gop'],"house,gop",88weighted,Explosion Camp
2263,,Sig Ragga se me hacen que miran mucho i . sat .. no me joden ! #TaraguiRock,,,['gop'],"house,gop",88weighted,
1867,,siang @noeey_Chibi ;) happy sunday,,,['gop'],"house,gop",88weighted,
960,,Si James yap nasa gilid . Go Mar Roxas !,,,[],,rlgordon18_ruth,"Si James,Mar Roxas"
361,Trumprussia,"Show de sexo caliente en vivo y GRATIS ! #Like https://t.co/u96XbZdJpv #sexy #cams #xxx #ass #sex #teen December 16 , 2015 at 05:32 AM",,"carter page,russian",['carter page'],carter,MarkCM07,
2842,,Shouldn't police evacuate people in nearby bldgs . in case the shooter does have propane or other explosive devices ? #ColoradoSpringsShooting,,,['gop'],"house,gop",88weighted,
693,,Should wear my arsenal shirt to college tomorrow,arsenal,,['gop'],gop,mrshellwinger,
2788,,Should I go get my nails done today or tomorrow hmmmm,,,['gop'],"house,gop",88weighted,
2500,,"Shooting reported at Marysville-Pilchuck High School , north of Seattle","marysville-pilchuck high school,seattle",,['gop'],"house,gop",88weighted,"Marysville-Pilchuck High School,Seattle"
