RussiaGate	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	FBI,Trump Aide,The Russian Government	JanKimbrough	na
nan	Will this be the flip needed to end this fiasco.	Will this be the flip needed to end this fiasco.		Nitemists	na
nan	"""See?! Obama was surveilling Trump advisors! And Carter Page was never a Trump advisor anyway!"""	"""See?! Obama was surveilling Trump advisors! And Carter Page was never a Trump advisor anyway!"""	Obama,Carter Page	DoghouseDano	na
trumprussia, trumprussia, trumprussia	 , for the love of God,	 , for the love of God,	God	ZellaQuixote	na
nan	"""there was probable cause to believe Page was acting as an agent of a foreign power, in this case Russia"	"""there was probable cause to believe Page was acting as an agent of a foreign power, in this case Russia"	Page,Russia	ManikRathee	na
nan	"FBI had FISA court order to monitor Trump adviser Carter Page: Report: 

"	"FBI had FISA court order to monitor Trump adviser Carter Page: Report: 

"	FBI,Trump,Carter Page	WashTimes	na
nan	"FBI reportedly obtained FISA warrant to monitor ex-Trump adviser | Fox News

"	"FBI reportedly obtained FISA warrant to monitor ex-Trump adviser | Fox News

"		GeneMcVay	na
nan	Important context: it is very, very difficult to obtain a FISA warrant.	Important context: it is very, very difficult to obtain a FISA warrant.		JettGoldsmith	na
nan	Makes it seem like Nunes and the WH colluded to hide the real reason the admin was surveilled. You know, like a liar does.	Makes it seem like Nunes and the WH colluded to hide the real reason the admin was surveilled. You know, like a liar does.		wdrewcurtis	na
CarterPage	"Friendly reminder that Trump mentioned  by name for his foreign policy team.

"	"Friendly reminder that Trump mentioned  by name for his foreign policy team.

"	Trump	ManikRathee	na
nan	Essentially, Russia infiltrated trump's campaign and either trump was complicit or stupid	Essentially, Russia infiltrated trump's campaign and either trump was complicit or stupid	Russia,trump	KnowYourObama	na
nan	So....distract from Prince Kushner's lies on security clearance by bombing Syria & from campaign adviser's FISA by starting a nuclear war?	So....distract from Prince Kushner's lies on security clearance by bombing Syria & from campaign adviser's FISA by starting a nuclear war?	Prince Kushner,Syria	Oooooo_Donna	na
nan	So now we have two Trump advisers acting as foreign agents (Flynn/Page) and a repeated pattern of shifting denials.	So now we have two Trump advisers acting as foreign agents (Flynn/Page) and a repeated pattern of shifting denials.	Trump	thegarance	na
obamagate, wiretap	Not only was this spying on a political opponent, it was another illegal leak. Was leaker FBI?	Not only was this spying on a political opponent, it was another illegal leak. Was leaker FBI?		pepesgrandma	na
nan	[World News Update] FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post  | Buy	[World News Update] FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post  | Buy	FBI,Trump,Carter Page,Washington Post	NaijaNewsPapers	na
nan	*Scoffs*	*Scoffs*		JamarTodd	na
nan	always a must watch	always a must watch		rdreynola	na
nan	Report: FISA court approved FBI's request to @whistleblowercl Please come forward on Obama Team, Democratic, Rep. to	Report: FISA court approved FBI's request to @whistleblowercl Please come forward on Obama Team, Democratic, Rep. to	FBI,Obama Team	MorvantCheryl	na
nan	"Greg Leppert is reading ""FBI obtained FISA warrant to monitor former Trump adviser Carter Page"""	"Greg Leppert is reading ""FBI obtained FISA warrant to monitor former Trump adviser Carter Page"""	Greg Leppert,FBI,Trump,Carter Page	tmreading2	na
nan	Sudden onset polonium tea syndrome is my guess.	Sudden onset polonium tea syndrome is my guess.		JesseInOH	na
nan	"FBI never made much effort to justify all that spying on the civil rights legend. Carter Page on the other hand...
"	"FBI never made much effort to justify all that spying on the civil rights legend. Carter Page on the other hand...
"	Carter Page	rojasburke	na
nan	@JoyAnnReid  This is a shot over the bow of the @realDonaldTrump ship @wonderfullone @JoyAnnReid @rolandsmartin	@JoyAnnReid  This is a shot over the bow of the @realDonaldTrump ship @wonderfullone @JoyAnnReid @rolandsmartin		EHines44	na
nan	@GeorgeTakei And tomorrow Spicer will be grateful for Carter Page...until he realizes that it means that the Trump campaign collided with Russia!	@GeorgeTakei And tomorrow Spicer will be grateful for Carter Page...until he realizes that it means that the Trump campaign collided with Russia!	Spicer,Carter Page,Trump,Russia	iamhereinmich	na
nan	@GuardianRover @20committee In probably the only time in my life where I'll agree with Russian spies on something, I don't think Carter Page is too bright.	@GuardianRover @20committee In probably the only time in my life where I'll agree with Russian spies on something, I don't think Carter Page is too bright.	Russian,Carter Page	A_M_Dolan	na
nan	Amazing: Carter Page compared FBI surveilancd of him to bureau's surveillance of Martin Luther King	Amazing: Carter Page compared FBI surveilancd of him to bureau's surveillance of Martin Luther King	Carter Page,Martin Luther King	WesleyLowery	na
SuryaRay, Indian, India	FBI obtained FISA warrant to monitor former Trump adviser Carter Page  @SuryaRay	FBI obtained FISA warrant to monitor former Trump adviser Carter Page  @SuryaRay	FBI,Trump,Carter Page	Amy____Jones	na
nan	Carter Page, a Trump advisor, was cleared for surveillance last year by the FBI, per @washingtonpost	Carter Page, a Trump advisor, was cleared for surveillance last year by the FBI, per @washingtonpost	Carter Page,FBI	thesourcesfeed	na
nan	@JohnFugelsang 4th paragraph..  Carter Page not accuses of any crimes.. I could have my 6 year old read the article to you if you need some help..	@JohnFugelsang 4th paragraph..  Carter Page not accuses of any crimes.. I could have my 6 year old read the article to you if you need some help..	Carter Page	RealBlueBets	na
nan	"United: We own the biggest fuck up of the day.

Sean Spicer: Hold my schnapps.

Carter Page: Hold my vodka.

"	"United: We own the biggest fuck up of the day.

Sean Spicer: Hold my schnapps.

Carter Page: Hold my vodka.

"	Sean Spicer,Carter Page	BodyofBreen	na
nan	@crynearson22 @tommyxtopher Yup. This today, fake bombing questions, new proof Nunes lied, take your pick. All NG for Trump.	@crynearson22 @tommyxtopher Yup. This today, fake bombing questions, new proof Nunes lied, take your pick. All NG for Trump.	Trump	MarleyKD	na
fb	FBI obtained FISA warrant to monitor former Trump adviser Carter Page: Justice, FBI	FBI obtained FISA warrant to monitor former Trump adviser Carter Page: Justice, FBI	FBI,Trump,Carter Page,FBI	tulio1987	na
nan	PRAISE GOD FOR THIS HUGE NEWS!!	PRAISE GOD FOR THIS HUGE NEWS!!		comeonnoles	na
nan	another trump-related investigation that the fbi kept secret during campaigns, while firing off baseless public accusations at clinton.	another trump-related investigation that the fbi kept secret during campaigns, while firing off baseless public accusations at clinton.	clinton	JoeWaggle	na
nan	*Tick-tock*tick-tock*	*Tick-tock*tick-tock*		HiMaui	na
nan	@LouiseMensch Well, look at that....	@LouiseMensch Well, look at that....		tvgirl222	na
nan	Former Trump Adviser Carter Page Was Being Monitored by FBI (Report)  (TheWrap)	Former Trump Adviser Carter Page Was Being Monitored by FBI (Report)  (TheWrap)	Carter Page,FBI	ProducerThought	na
nan	"Please Read & share the following.  Imp. trump/russia info. 
 &"	"Please Read & share the following.  Imp. trump/russia info. 
 &"		crafticarolyn	na
nan	@darionavarro111 Carter Page was not a Trump advisor? I call BS	@darionavarro111 Carter Page was not a Trump advisor? I call BS	Carter Page	alexb2877	na
nan	A sad day indeed for emergency physicians and their patients, who may lose guaranteed coverage for ER visits thanks to . Terrible. 	A sad day indeed for emergency physicians and their patients, who may lose guaranteed coverage for ER visits thanks to . Terrible. 	ER	EmergencyDocs	na
nan	house republicans just wanted to make it clear that they hate the american people.	house republicans just wanted to make it clear that they hate the american people.		ebencom	na
bisexual, lgbtnation	House Republicans pass shameful Obamacare repeal     	House Republicans pass shameful Obamacare repeal     	House Republicans pass shameful Obamacare	comingoutoz	na
AHCA, townhall	Angry at @RepAnnWagner's  vote? Come to a  & share your views! @FwdTogetherSTL @IndivisibleTeam @Indivisible_STL @RISEUP63122 	Angry at @RepAnnWagner's  vote? Come to a  & share your views! @FwdTogetherSTL @IndivisibleTeam @Indivisible_STL @RISEUP63122 		1hippoallalone	na
nan	@RepJBridenstine you are evil 	@RepJBridenstine you are evil 		blissful1985	na
nan	Death is freedom: Republicans pass Obamacare repeal bill: In a 217-213 vote in the House of Representatives, every…  	Death is freedom: Republicans pass Obamacare repeal bill: In a 217-213 vote in the House of Representatives, every…  	Republicans pass Obamacare,House of Representatives	mariatsmith	na
AHCA, SaveACA	If you live in the following states, your Congress representative flipped. Put them on notice     	If you live in the following states, your Congress representative flipped. Put them on notice     		C_Muteba	na
Yoder, AHCA, LegislativeMalpractice	 voted for the  without seeing the CBO scoring (cost and effects) of Obamacare 'repeal and replace' bill. 	 voted for the  without seeing the CBO scoring (cost and effects) of Obamacare 'repeal and replace' bill. 	CBO	WJ_Press	na
nan	Oh, what a fun time reconciliation will be. Corrupt pigs benefiting from 2-party MSM fawns selling BS to people who trust them, negotiating. 	Oh, what a fun time reconciliation will be. Corrupt pigs benefiting from 2-party MSM fawns selling BS to people who trust them, negotiating. 		phpress	na
nan	I remain struck by the diversity. There's the guy in the yellow suit. 	I remain struck by the diversity. There's the guy in the yellow suit. 		ErikLoomis	na
nan	Kudos to the 20 brave Republicans who faced down enormous pressure and followed their consciences and common sense against this travesty 	Kudos to the 20 brave Republicans who faced down enormous pressure and followed their consciences and common sense against this travesty 		Sm4rtM0nk3y	na
nan	those coal mining states beware you have the most to lose, no jobs, no vacations, no health care, no pre existing healthcare, or retirement 	those coal mining states beware you have the most to lose, no jobs, no vacations, no health care, no pre existing healthcare, or retirement 		Hst3	na
AHCA	Michigan congressman @RepJohnConyers on the , now on its way to the Senate. 	Michigan congressman @RepJohnConyers on the , now on its way to the Senate. 	Michigan,Senate	SaraSantiago	na
nan	@amjoyshow Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare.  	@amjoyshow Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare.  	Convene	addison_dr	na
AHCA	All those politicians are so smug. They don't give any fucks that people will die.  	All those politicians are so smug. They don't give any fucks that people will die.  		ScribeShelly	na
ripgop	"Yes, on to the Senate where this'll be D.O.A. Like your seats next elections.

 "	"Yes, on to the Senate where this'll be D.O.A. Like your seats next elections.

 "	Senate	ha_bibti	na
AHCA, mildlynauseous	@TheLastWord @Lawrence Does  cover an epidemic of  ?	@TheLastWord @Lawrence Does  cover an epidemic of  ?		chenizot	na
AHCA, RacismIsReal, Obamacare	Gross!!! Our nation is going backward ppl    saved me. My pinned tweet is no joke We must  	Gross!!! Our nation is going backward ppl    saved me. My pinned tweet is no joke We must  		JamesRusso2d3d	na
ACHA, Obamacare	Dear @GOP Please stop calling yourselves CHRISTIANS! Or PRO-LIFE. You are neither of these things.  	Dear @GOP Please stop calling yourselves CHRISTIANS! Or PRO-LIFE. You are neither of these things.  		NabokovBlue	na
AHCA, ACA, RepealAndReplace, preexistingconditions	A Health Plan CEO Daydreams ...     	A Health Plan CEO Daydreams ...     		THCBstaff	na
nan	.@RosLehtinen my girl! 	.@RosLehtinen my girl! 		natiortega	na
AHCA	@RepChrisCollins WNYers know MOC exempted themselves from the worst parts of the  Your constituents wd like a word. Host a townhall. 	@RepChrisCollins WNYers know MOC exempted themselves from the worst parts of the  Your constituents wd like a word. Host a townhall. 	MOC	CindyNG	na
ObamaCare	I called it when I woke up this morning  	I called it when I woke up this morning  		k8egreenthal	na
nan	"This pic is what American Christians thinks represents the teachings of Jesus Christ.

Oh my fucking god! "	"This pic is what American Christians thinks represents the teachings of Jesus Christ.

Oh my fucking god! "	American Christians,Jesus Christ	Fuck_You_Twitr_	na
AHCA	Statement from @SenDeanHeller on . Not on board with current form. 	Statement from @SenDeanHeller on . Not on board with current form. 		theschnittshow	na
nan	Guess I'd better not get sick, have children or get older 😑😑😑 	Guess I'd better not get sick, have children or get older 😑😑😑 		Spookieloo92	na
nan	"thehill: ""Vote to repeal ObamaCare spells doom for House Republicans""  "	"thehill: ""Vote to repeal ObamaCare spells doom for House Republicans""  "	House Republicans	Angelus1701	na
ObamaCare	 - The one that GAVE sits with a child in front. The one that TAKES stands to draw attention to himself. 	 - The one that GAVE sits with a child in front. The one that TAKES stands to draw attention to himself. 		OPSVeracity	na
nan	"@ABCPolitics Why I will never vote democratic AGAIN. Goes 2 show how close-minded @HouseDemocrats R. But singing?  these a
R children not leaders.  "	"@ABCPolitics Why I will never vote democratic AGAIN. Goes 2 show how close-minded @HouseDemocrats R. But singing?  these a
R children not leaders.  "		DividedxWe_FALL	na
nan	Disgusting, @SusanWBrooks , voting to let thousands of Americans lose  coverage to give tax breaks to the rich.   	Disgusting, @SusanWBrooks , voting to let thousands of Americans lose  coverage to give tax breaks to the rich.   		KathyM_0962	na
AHCA	Thank you @RepThomasMassie for voting no on 	Thank you @RepThomasMassie for voting no on 		twilabrase	na
healthcare, bill, aca, ahca	Probably the real reason for the GOP celebrations at the WH just now.     	Probably the real reason for the GOP celebrations at the WH just now.     	WH	hanslejeune	na
nan	House Republicans are hoping that Senate will not kick the ball back to House before Nov 2018 when the chips will fall where they may.	House Republicans are hoping that Senate will not kick the ball back to House before Nov 2018 when the chips will fall where they may.	House Republicans	RobertHoustonII	na
nan	He had no intention to listen to his constituents... 	He had no intention to listen to his constituents... 		nutmom123	na
AHCA	"Republican idea is insurance companies are just going to drop premiums, cover more for less because they've done that before - ever
"	"Republican idea is insurance companies are just going to drop premiums, cover more for less because they've done that before - ever
"		Nataya	na
nan	They are only PRO-BIRTH.  Not PRO-LIFE. 	They are only PRO-BIRTH.  Not PRO-LIFE. 		redsvt1	na
nan	When House Republicans secured their 216th “yes” on the American Health Care Act Thursday, Democrats immediately... 	When House Republicans secured their 216th “yes” on the American Health Care Act Thursday, Democrats immediately... 		QkTipcom	na
Obamacare	Let's go Michelle. We are off the hook before it imploded. Suckers   	Let's go Michelle. We are off the hook before it imploded. Suckers   	Michelle	jknightlinger	na
nan	FUCK THEM 	FUCK THEM 		Jefflez	na
AHCA	The Republicans heard the cries of millions who wanted healthcare, they did the opposite and did what insurance giants wanted. 	The Republicans heard the cries of millions who wanted healthcare, they did the opposite and did what insurance giants wanted. 		DanPhetamine70	na
nan	Honestly what IS our government anymore, on both sides?! 	Honestly what IS our government anymore, on both sides?! 		LANDO__Lakes	na
GOP	Live shot of  Congress celebrating a vote to strip millions of healthcare and literally sentence people to death.  	Live shot of  Congress celebrating a vote to strip millions of healthcare and literally sentence people to death.  	Congress	RealChrisCal	na
AHCA	 killed Jason Blossom	 killed Jason Blossom	Jason Blossom	AndrewAulthouse	na
Suckers, AHCA	You half wits that voted in this mess - didn't think he'd take away YOUR healthcare, did ya?  	You half wits that voted in this mess - didn't think he'd take away YOUR healthcare, did ya?  		chasingsunny16	na
AHCA	Hey @Heineken can you stage an ad with some GOP congressmen and their sick constituents who might die now? Will that help? 	Hey @Heineken can you stage an ad with some GOP congressmen and their sick constituents who might die now? Will that help? 	GOP	libbyjones715	na
AHCA	Please support @MikeLevinCA runs for Congress against @DarrellIssa what voted YES on  	Please support @MikeLevinCA runs for Congress against @DarrellIssa what voted YES on  	Congress	ManduhMarlowe	na
nan	"@realDonaldTrump 
U did a good thing today U made sure all the house republicans will get to go home.
They will lose their seat and be hated"	"@realDonaldTrump 
U did a good thing today U made sure all the house republicans will get to go home.
They will lose their seat and be hated"		vicki_vickers	na
F4F, RT, news, Did	    Republicans just wave bye-bye to their House majority? - Washington Post 	    Republicans just wave bye-bye to their House majority? - Washington Post 	Washington Post	WorldNews707	na
Obamacare	Cool!!!! Affordable Care Act  Drove Down Personal Bankruptcy - @ConsumerReports 	Cool!!!! Affordable Care Act  Drove Down Personal Bankruptcy - @ConsumerReports 		EddyConnors	na
AHCA	 The KKK (out of uniform) deciding what's best for America. 	 The KKK (out of uniform) deciding what's best for America. 	America	flo_rizer	na
democrats, Republican, Puritans, AHCA	For all d people who didn't vote cause  weren't for single payer i hope you are happy with the  version  	For all d people who didn't vote cause  weren't for single payer i hope you are happy with the  version  		iloanya1	na
AHCA	Just when you think things cant get worse? These fucks never disapoint.  	Just when you think things cant get worse? These fucks never disapoint.  		Chileno01280	na
AHCA	1.) Domestic violence is a pre condition according to the , along with the huge almost 1 Trillion Medicaid cut, wife beaters paradise	1.) Domestic violence is a pre condition according to the , along with the huge almost 1 Trillion Medicaid cut, wife beaters paradise		CaptainCrabs	na
nan	Maybe I missed it, but I didn't see a single comment here saying you did the right thing. Party over country @RepKinzinger. We all see it. 	Maybe I missed it, but I didn't see a single comment here saying you did the right thing. Party over country @RepKinzinger. We all see it. 		LelandYachtClub	na
nan	OBAMA HAS FAILED THE AMERICAN PEOPLE! His loyalty was to his Muslims in the hood. He fooled black+white America. What did he do for you? 	OBAMA HAS FAILED THE AMERICAN PEOPLE! His loyalty was to his Muslims in the hood. He fooled black+white America. What did he do for you? 	OBAMA,America	IrresistibleDJT	na
nan	Disappointed with CA republicans for towing the line and following blindly. Thought you were better than that.  	Disappointed with CA republicans for towing the line and following blindly. Thought you were better than that.  	CA	erichwithach	na
nan	Exactly! Putting their seats in jeopardy for nothing! Way to go House Republicans! 	Exactly! Putting their seats in jeopardy for nothing! Way to go House Republicans! 	House Republicans	SheilaPettifor2	na
nan	Local Rotund Toddler Dismantles Constituents' Health Care, Demands Treats 	Local Rotund Toddler Dismantles Constituents' Health Care, Demands Treats 	Health Care,Demands Treats	matthew_massie	na
nan	This is a Must. Every republican who voted Yes today has got to go. 	This is a Must. Every republican who voted Yes today has got to go. 		cristo_monte	na
AHCA	@IvankaTrump Thank you, Ivanka!  is splendid. 	@IvankaTrump Thank you, Ivanka!  is splendid. 	Ivanka	kim	na
DEMS, AHCA, WeThePeople, BS, PJNET	.@GOP is JUST like , shoving   down our throats that NO ONE has read!  s/ have month to rvw B4 vote! More ! 	.@GOP is JUST like , shoving   down our throats that NO ONE has read!  s/ have month to rvw B4 vote! More ! 		Evilpa	na
Trump, AHCA	"Yet another  lie or as Ann Courter puts it... he just ""bull sh*ts"".  bad for women who are charged more for insurance than men "	"Yet another  lie or as Ann Courter puts it... he just ""bull sh*ts"".  bad for women who are charged more for insurance than men "	Ann Courter	LovelyRita1022	na
AHCA	1. A battered woman pays extra for health care while the guy who beat the shit out of her doesn't. 	1. A battered woman pays extra for health care while the guy who beat the shit out of her doesn't. 		mrbabypants	na
nan	you hear that? Fuck all of them. 	you hear that? Fuck all of them. 		Apt104	na
AHCA	Take note. This is just one consequence of the . 	Take note. This is just one consequence of the . 		belindabeezz	na
AHCA	@rlgordon18_ruth   Yea Ruth, but the sky is falling! Most of these folks don't even rely on O'care for their insurance. They're just loving crying again	@rlgordon18_ruth   Yea Ruth, but the sky is falling! Most of these folks don't even rely on O'care for their insurance. They're just loving crying again	Ruth,O'care	ALMtnMan30cal	na
nan	Senate Republicans Already Say the House Health Care Law ‘Falls Short’ 	Senate Republicans Already Say the House Health Care Law ‘Falls Short’ 		MillarMatthews	na
AHCA	Ignorance is the most curable, but most dangerous, disease. 	Ignorance is the most curable, but most dangerous, disease. 		MsAJBossypants	na
nan	Welp. 	Welp. 		LaurenEMorrill	na
nan	"""We've been at this Dave Matthews concert for 75 years"" "	"""We've been at this Dave Matthews concert for 75 years"" "	Dave Matthews	suzannishly	na
nan	Democrats broke into this chant after House Republicans voted to repeal Obamacare  	Democrats broke into this chant after House Republicans voted to repeal Obamacare  	House Republicans	SocialLifeMiami	na
OBAMACARE	"Trump has made it clear and House Republicans have too.
They don't care too much about you.
, TRUMP DON'T
  "	"Trump has made it clear and House Republicans have too.
They don't care too much about you.
, TRUMP DON'T
  "	Trump,House Republicans,TRUMP DON'T	ErinRHazel	na
ahca, 50StateStrategy, 2018Race, Drumpf, FlipTheCongress	Hey @DNC, 217 seats just became vulnerable in the House.      	Hey @DNC, 217 seats just became vulnerable in the House.      		The_Guze	na
Obamacare, AHCA	"House Republicans did their job and the left can't take it. Sorry losing isn't fun, not that I know what that feels like. 🤣
"	"House Republicans did their job and the left can't take it. Sorry losing isn't fun, not that I know what that feels like. 🤣
"	House Republicans	BooBooNyc	na
AHCA	Here's how every single person in the House voted on  	Here's how every single person in the House voted on  		ProPublica	na
AHCA	"Republican  ""would erase the coverage gains of [ACA] & leave 24 million more people uninsured"" @CNNMoney  "	"Republican  ""would erase the coverage gains of [ACA] & leave 24 million more people uninsured"" @CNNMoney  "	Republican	LawyersVSLupus	na
AHCA	"@RepRooney @TomRooney 
Floridians will not forget your YES vote today on . Today you put Party before constituents & we do not forget."	"@RepRooney @TomRooney 
Floridians will not forget your YES vote today on . Today you put Party before constituents & we do not forget."		TraciLN1164	na
nan	Call your Senators AND the Representatives that voted for this bill. 	Call your Senators AND the Representatives that voted for this bill. 	Representatives	LWVNYC	na
AHCA	"Hey @SenatorMenendez and @CoryBooker, just wanted to confirm you'll both be voting ""NO"" when the  hits the Senate, right?"	"Hey @SenatorMenendez and @CoryBooker, just wanted to confirm you'll both be voting ""NO"" when the  hits the Senate, right?"		jp_polewczak	na
preexistingconditions, AHCA	"RT if you:

-Have a mental illness 
-Care about someone with a mental illness 

 
"	"RT if you:

-Have a mental illness 
-Care about someone with a mental illness 

 
"		chasestrangio	na
AHCA	Is soulless asshat a pre-existing condition? 	Is soulless asshat a pre-existing condition? 		muchredink	na
AHCA, disgusting	But honestly, how can you call yourself 'a civilized country' if health is not a right but a privilege?  	But honestly, how can you call yourself 'a civilized country' if health is not a right but a privilege?  		ammit_	na
nan	"You're a special kind of ""stupid"" aren't you. "	"You're a special kind of ""stupid"" aren't you. "		janis11121948	na
AHCA, Trumpcare	"The asshole brigade. 
  "	"The asshole brigade. 
  "	brigade	blueplanetradio	na
nan	We must speak louder at the polls. Those who voted for this MUST be held accountable. Party affiliations can't come before human lives. 	We must speak louder at the polls. Those who voted for this MUST be held accountable. Party affiliations can't come before human lives. 		PWJonesSr	na
AHCA	Voice your concern to reps - now. Proposed  bill will do serious harm to...  by  via @c0nvey 	Voice your concern to reps - now. Proposed  bill will do serious harm to...  by  via @c0nvey 	reps	ilhanbahar2001	na
obamacare, aca, ACARepeal, Portland, healthcare, healthinsurance	Healthcare bill passed, what does it mean?       	Healthcare bill passed, what does it mean?       		HealthPlansinOR	na
AHCA, ThankyouTrump	  for relief from the  failed Obamacare. 	  for relief from the  failed Obamacare. 		Elohim_Gadol	na
nan	Remember their names. 	Remember their names. 		bforberenice	na
AHCA	".@repdonbeyer TY for the ""no"" vote on  The bill puts Medicaid 4 kids at risk! All children need health coverage  "	".@repdonbeyer TY for the ""no"" vote on  The bill puts Medicaid 4 kids at risk! All children need health coverage  "	The bill puts Medicaid	speaknowforkids	na
nan	why are republicans celebrating the repeal and replace obamacare bill going thru the house when it hasn't even gone thru the senate yet LOL	why are republicans celebrating the repeal and replace obamacare bill going thru the house when it hasn't even gone thru the senate yet LOL		ASAPthottie	na
AHCA	 discriminates against mothers, children, seniors, individuals with disabilities, and the sick. This is shameful -- lives are at stake.	 discriminates against mothers, children, seniors, individuals with disabilities, and the sick. This is shameful -- lives are at stake.		therealezway	na
AHCA	New Health Hashtag 👉  	New Health Hashtag 👉  		healthhashtags	na
AHCA, ACA	My take as a socialist as to how we deal with the health insurance war. If you like the vid retweet it.     	My take as a socialist as to how we deal with the health insurance war. If you like the vid retweet it.     		TabrisThe17th	na
nan	You lied, Barry, and now your legacy is going to die. Of course, if that's your idea of a legacy you've got bigger problems than that. 	You lied, Barry, and now your legacy is going to die. Of course, if that's your idea of a legacy you've got bigger problems than that. 	Barry	NFloridaWriter	na
VoteNoAHCA	Pro-life extends beyond 9 months gestation  😡😢 	Pro-life extends beyond 9 months gestation  😡😢 		innermamlogue	na
nan	THANK THESE GOP House members who put their constituents FIRST. 👏🏻👏🏻 	THANK THESE GOP House members who put their constituents FIRST. 👏🏻👏🏻 		j_smithcameron	na
AHCA	"Destroyed over the sad news about . I want to go home and use a ""sick day"" but that might later be considered a pre-existing condition."	"Destroyed over the sad news about . I want to go home and use a ""sick day"" but that might later be considered a pre-existing condition."		DavinDuhamel	na
nan	This from the same drooling moron who declared there would be nothing.... 	This from the same drooling moron who declared there would be nothing.... 		Van_der_Leun	na
nan	And Democrats are stunned as to how they lost in 2016. 	And Democrats are stunned as to how they lost in 2016. 		AmazinDavey	na
nan	"""Give him a chance,"" they said. "	"""Give him a chance,"" they said. "		RonlynDomingue	na
Trump, Obama, TheGOP, Obamacare	 just took a giant step toward undoing 's greatest legacy     @Independent 	 just took a giant step toward undoing 's greatest legacy     @Independent 		iamjony94	na
Trumpcare, AHCA, Obamacare, FucktheGOP	"Get ready to sing ""Nah nah nah"" in 2018, GOP. This is why I left the Republicans years ago.    "	"Get ready to sing ""Nah nah nah"" in 2018, GOP. This is why I left the Republicans years ago.    "	GOP	BostinPat	na
AHCA	@chrislhayes @maddow @Lawrence Please say..those Congress vote yes on ,constituents will vote them out 2018,Dems may get House majority	@chrislhayes @maddow @Lawrence Please say..those Congress vote yes on ,constituents will vote them out 2018,Dems may get House majority	Dems	nickibabylove	na
AHCA	"On Tuesday, November 6th, 2018, 

I will be voting for more House Republicans and Senators, since they are keeping promises.
"	"On Tuesday, November 6th, 2018, 

I will be voting for more House Republicans and Senators, since they are keeping promises.
"	House Republicans and Senators	ScottPresler	na
nan	@GeneralLeiaDC @RepAlexMooney I'll vote for you. House Republicans should be ashamed.	@GeneralLeiaDC @RepAlexMooney I'll vote for you. House Republicans should be ashamed.		Gabaldona8	na
Trumpcare	These 24 GOP swing state reps voted “yes” for  (which cares not). They're up for re-election in 2018!    	These 24 GOP swing state reps voted “yes” for  (which cares not). They're up for re-election in 2018!    		ChivasSandage	na
nan	@SueinRockville Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare.  	@SueinRockville Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare.  	Convene	addison_dr	na
midterms2018	REMEMBER  	REMEMBER  		suzysayshi2u	na
AHCA	I have some very serious concerns about 's impact on WV. The Senate needs to take a breath & think it through: 	I have some very serious concerns about 's impact on WV. The Senate needs to take a breath & think it through: 	WV	BlakeHumphrey_	na
AHCA	@Alex_Micati @agnesbookbinder Almost makes death sound pleasant. 	@Alex_Micati @agnesbookbinder Almost makes death sound pleasant. 		stacy_koster	na
AHCA	@RepCharlieDent Thank you @RepCharlieDent for saying no to .	@RepCharlieDent Thank you @RepCharlieDent for saying no to .		deb_budd_sw	na
AHCA	How can us as humans stand by and watch this orange alien destroy our country wow sad day america 	How can us as humans stand by and watch this orange alien destroy our country wow sad day america 		oneworrell	na
Obamacare	Now the House can say they delivered on Repeal & Replace . Now it will be up to the Senate and I am sure 2 committee! @POTUS w/C	Now the House can say they delivered on Repeal & Replace . Now it will be up to the Senate and I am sure 2 committee! @POTUS w/C	Senate	golfnut6968	na
ahca	United States of West America and United States of East America have nice rings to them. United States of Flyover America? Not so much 	United States of West America and United States of East America have nice rings to them. United States of Flyover America? Not so much 	United States of West America,United States of East America,United States of Flyover America	ocunregistered	na
AHCA, Obamacare, Trumpcare, ACA, TRUMP	" Haiku:

Repeal getting real
Repubs lack humanity --
Make them rue the day.

    "	" Haiku:

Repeal getting real
Repubs lack humanity --
Make them rue the day.

    "		socialchanger	na
AHCA	The House narrowly passed the  health care bill, 217 to 213. But it still has to pass the Senate before becoming law.	The House narrowly passed the  health care bill, 217 to 213. But it still has to pass the Senate before becoming law.	The House	CCCAction	na
VoteThemOut	eat shit.  	eat shit.  		mandoface	na
Obamacare	 bye Obamacare. won't miss ya	 bye Obamacare. won't miss ya		MrsElite2016	na
AHCA, Trumpcare	The @HouseGOP = millionaires with socialized heath care who celebrate taking healthcare away from non-millionaires.  	The @HouseGOP = millionaires with socialized heath care who celebrate taking healthcare away from non-millionaires.  		laurakramer22	na
nan	Yo democrats, I'm with ya and all but in the mean time , people are gonna die. This isn't a sporting event ya assclowns. 	Yo democrats, I'm with ya and all but in the mean time , people are gonna die. This isn't a sporting event ya assclowns. 		AaronTiberius	na
AHCA	Our Statement on House Passage of the American Health Care Act ():  	Our Statement on House Passage of the American Health Care Act ():  		Easter_Seals	na
